2501	90.0	A	90.0	A	87.0	B+	96.0	A	8.75	PASS
2502	50.0	C+	53.0	C+	54.0	C+	55.0	B	6.25	PASS
2503	97.0	A+	74.0	B	96.0	A+	96.0	A	9.00	PASS
2504	72.0	B	69.0	B	66.0	B	75.0	B+	7.25	PASS
2505	44.0	C+	49.0	C+	42.0	C+	46.0	C+	6.00	PASS
2506	87.0	B+	84.0	B+	89.0	A	86.0	A	8.50	PASS
2507	44.0	C+	47.0	C+	42.0	C+	44.0	C+	6.00	PASS
2508	93.0	A	90.0	A	85.0	B+	95.0	A	8.75	PASS
2509	36.0	F	35.0	F	40.0	C+	39.0	F	1.50	BACK
2510	83.0	B+	84.0	B+	76.0	B+	82.0	B+	8.00	PASS
2511	64.0	B	60.0	B	67.0	B	70.0	B	7.00	PASS
2512	85.0	B+	80.0	B+	88.0	B+	81.0	B+	8.00	PASS
2513	88.0	A	92.0	A	92.0	A	84.0	B+	8.75	PASS
2514	40.0	C	45.0	C+	42.0	C+	43.0	C	5.50	PASS
2515	58.0	B	61.0	B	66.0	B	52.0	C+	6.75	PASS
2516	94.0	A	88.0	B+	85.0	B+	91.0	A	8.50	PASS
2517	79.0	B+	75.0	B	77.0	B+	74.0	B+	7.75	PASS
2518	98.0	A+	96.0	A+	94.0	A+	99.0	A+	10.00	PASS
2519	50.0	C+	45.0	C+	41.0	C+	47.0	C+	6.00	PASS
2520	96.0	A	95.0	A+	91.0	A	99.0	A+	9.50	PASS
2521	33.0	F	41.0	C	29.0	F	43.0	C	2.50	BACK
2522	79.0	B+	76.0	B+	73.0	B	80.0	B+	7.75	PASS
2523	88.0	A	85.0	B+	92.0	A	87.0	A	8.75	PASS
2524	50.0	C+	42.0	C	32.0	F	39.0	F	2.75	BACK
2525	99.0	A+	93.0	A	84.0	B+	75.0	B+	8.75	PASS
2526	94.0	A	91.0	A	96.0	A+	94.0	A	9.25	PASS
2527	42.0	C	44.0	C	38.0	F	46.0	C+	4.00	BACK
2528	75.0	B	71.0	B	70.0	B	73.0	B+	7.25	PASS
2529	90.0	A	93.0	A	93.0	A	86.0	A	9.00	PASS
2530	43.0	C	49.0	C+	32.0	F	28.0	F	2.75	BACK
2531	81.0	B+	77.0	B+	74.0	B+	72.0	B	7.75	PASS
2532	54.0	C+	49.0	C+	56.0	B	61.0	B	6.50	PASS
2533	97.0	A+	94.0	A	17.0	F	20.0	F	4.75	BACK
2534	53.0	C+	60.0	B	49.0	C+	55.0	B	6.50	PASS
2535	100.0	A+	97.0	A+	93.0	A	97.0	A+	9.75	PASS
2536	36.0	F	32.0	F	37.0	F	41.0	C	1.25	BACK
2537	64.0	B	56.0	B	68.0	B	71.0	B	7.00	PASS
2538	45.0	C+	47.0	C+	99.0	A+	52.0	C+	7.00	PASS
2539	86.0	B+	83.0	B+	28.0	F	90.0	A	6.25	BACK
2540	76.0	B	80.0	B+	61.0	B	31.0	F	5.50	BACK
2541	99.0	A+	96.0	A+	94.0	A+	99.0	A+	10.00	PASS
2542	41.0	C	43.0	C	36.0	F	39.0	F	2.50	BACK
2543	83.0	B+	92.0	A	82.0	B+	85.0	B+	8.25	PASS
2544	41.0	C	29.0	F	23.0	F	23.0	F	1.25	BACK
2545	58.0	B	54.0	B	65.0	B	69.0	B	7.00	PASS
2546	93.0	A	86.0	B+	96.0	A+	53.0	C+	8.25	PASS
2547	100.0	A+	95.0	A+	90.0	A	62.0	B	9.00	PASS
2548	59.0	B	50.0	C+	80.0	B+	98.0	A+	7.75	PASS
2549	64.0	B	44.0	C	56.0	B	71.0	B	6.50	PASS
2550	88.0	A	85.0	B+	91.0	A	44.0	C+	8.00	PASS
2551	49.0	C+	76.0	B+	42.0	C+	98.0	A+	7.50	PASS
2552	72.0	B	95.0	A+	88.0	B+	56.0	B	8.00	PASS
2553	64.0	B	55.0	B	69.0	B	80.0	B+	7.25	PASS
2554	36.0	F	36.0	F	33.0	F	88.0	A	2.25	BACK
2555	99.0	A+	94.0	A	99.0	A+	73.0	B+	9.25	PASS
2556	77.0	B	25.0	F	20.0	F	44.0	C+	3.25	BACK
2557	56.0	C+	73.0	B	67.0	B	44.0	C+	6.50	PASS
2558	81.0	B+	100.0	A+	87.0	B+	97.0	A+	9.00	PASS
2559	36.0	F	18.0	F	15.0	F	60.0	B	1.75	BACK
2560	88.0	A	82.0	B+	97.0	A+	76.0	B+	8.75	PASS
